"Account No";"Date";"Payment Reason";"Recipient";"Amount"
123456;01.05.2017;"Insurance";;-30,00
123456;08.05.2017;"Rent";;-500
123456;11.05.2017;"Misc";;-34
123456;14.05.2017;"Fuel";;-50,00
123456;30.05.2017;"Grocery";;-28
123456;30.05.2017;"Fuel";;-56,00
123456;01.06.2017;"Salary";;2200
123456;01.06.2017;"Insurance";;-30,00
123456;06.06.2017;"Grocery";;-48,00
123456;08.06.2017;"Rent";;-500,00
123456;10.06.2017;"Misc";;-96,00
123456;12.06.2017;"Grocery";;-21,00
123456;22.06.2017;"Fuel";;-62,00
123456;24.06.2017;"Fuel";;-47,00
123456;27.06.2017;"Fuel";;-59,00
123456;28.06.2017;"Grocery";;-38,00
123456;28.06.2017;"Misc";;-41,00
123456;01.07.2017;"Salary";;2200,00
123456;01.07.2017;"unicef";;-50,00
123456;01.07.2017;"Insurance";;-30,00
123456;03.07.2017;"Fuel";;-48,00
123456;08.07.2017;"Rent";;-500,00
123456;11.07.2017;"Grocery";;-31,00
123456;15.07.2017;"Misc";;-90,00
123456;19.07.2017;"Grocery";;-32,00
123456;23.07.2017;"Fuel";;-45,00
123456;24.07.2017;"Misc";;-17,00
123456;29.07.2017;"Misc";;-22,00
123456;01.08.2017;"Salary";;2200,00
123456;01.08.2017;"Insurance";;-30,00
123456;08.08.2017;"Rent";;-500,00
123456;11.08.2017;"Misc";;-13,00
123456;13.08.2017;"Grocery";;-37,00
123456;14.08.2017;"Grocery";;-43
123456;14.08.2017;"Fuel";;-54,00
123456;27.08.2017;"Misc";;-43
123456;01.09.2017;"Salary";;2200,00
123456;01.09.2017;"unicef";;-50
123456;01.09.2017;"Insurance";;-30,00
123456;06.09.2017;"Misc";;-65,00
123456;08.09.2017;"Rent";;-500,00
123456;10.09.2017;"Misc";;-45,00
123456;11.09.2017;"Fuel";;-52,00
123456;18.09.2017;"Fuel";;-41
123456;26.09.2017;"Misc";;-54,00
123456;01.10.2017;"Salary";;2200,00
123456;01.10.2017;"Insurance";;-30,00
123456;02.10.2017;"Grocery";;-31,00
123456;07.10.2017;"Fuel";;-52,00
123456;07.10.2017;"Misc";;-63,00
123456;08.10.2017;"Rent";;-500,00
123456;18.10.2017;"Fuel";;-45,00
123456;27.10.2017;"Fuel";;-60,00
123456;27.10.2017;"Misc";;-42,00
123456;01.11.2017;"Salary";;3000,00
123456;01.11.2017;"Grocery";;-31,00
123456;01.11.2017;"unicef";;-100,00
123456;01.11.2017;"Insurance";;-30
123456;03.11.2017;"Grocery";;-23,00
123456;08.11.2017;"Rent";;-500
123456;10.11.2017;"Misc";;-20,00
123456;19.11.2017;"Fuel";;-53,00
123456;21.11.2017;"Grocery";;-26,00
123456;01.12.2017;"Salary";;2200,00
123456;01.12.2017;"Insurance";;-30,00
123456;02.12.2017;"Misc";;-19,00
123456;05.12.2017;"Misc";;-26
123456;08.12.2017;"Rent";;-500,00
123456;08.12.2017;"Fuel";;-63,00
123456;15.12.2017;"Grocery";;-33,00
123456;16.12.2017;"Grocery";;-44,00
123456;16.12.2017;"Grocery";;-31,00
123456;23.12.2017;"Misc";;-10,00
123456;24.12.2017;"Fuel";;-46,00
123456;01.01.2018;"Salary";;2200,00
123456;01.01.2018;"unicef";;-50,00
123456;01.01.2018;"Insurance";;-170,00
123456;03.01.2018;"Misc";;-101,00
123456;05.01.2018;"Misc";;-30,00
123456;07.01.2018;"Misc";;-50,00
123456;08.01.2018;"Rent";;-500,00
123456;13.01.2018;"Fuel";;-60,00
123456;17.01.2018;"Misc";;-93,00
123456;22.01.2018;"Grocery";;-29,00
123456;31.01.2018;"Fuel";;-42
123456;01.02.2018;"Salary";;2200,00
123456;01.02.2018;"Insurance";;-30,00
123456;05.02.2018;"Fuel";;-52,00
123456;08.02.2018;"Rent";;-500,00
123456;12.02.2018;"Grocery";;-38,00
123456;16.02.2018;"Misc";;-96
123456;24.02.2018;"Fuel";;-40,00
123456;25.02.2018;"Fuel";;-53,00
123456;01.03.2018;"Salary";;2200
123456;01.03.2018;"unicef";;-50,00
123456;01.03.2018;"Insurance";;-30,00
123456;05.03.2018;"Misc";;-25,00
123456;08.03.2018;"Rent";;-500,00
123456;23.03.2018;"Fuel";;-61,00
123456;27.03.2018;"Misc";;-12,00
123456;29.03.2018;"Grocery";;-40
123456;01.04.2018;"Salary";;2200,00
123456;01.04.2018;"Insurance";;-30,00
123456;03.04.2018;"Fuel";;-47,00
123456;03.04.2018;"Misc";;-42,00
123456;04.04.2018;"Misc";;-37,00
123456;08.04.2018;"Rent";;-500,00
123456;18.04.2018;"Fuel";;-65,00
123456;22.04.2018;"Misc";;-18,00
123456;01.05.2018;"Salary";;2300,00
123456;01.05.2018;"unicef";;-50,00
123456;01.05.2018;"Insurance";;-30,00
123456;05.05.2018;"Grocery";;-40,00
123456;08.05.2018;"Rent";;-500,00
123456;14.05.2018;"Fuel";;-57,00
123456;15.05.2018;"Misc";;-53,00
123456;24.05.2018;"Fuel";;-44,00
123456;01.06.2018;"Salary";;2300,00
123456;01.06.2018;"Insurance";;-30,00
123456;04.06.2018;"Misc";;-65,00
123456;08.06.2018;"Rent";;-500,00
123456;12.06.2018;"Fuel";;-49,00
123456;22.06.2018;"Grocery";;-44,00
123456;28.06.2018;"Fuel";;-49
123456;30.06.2018;"Misc";;-76,00
123456;01.07.2018;"Salary";;2300,00
123456;01.07.2018;"unicef";;-50,00
123456;01.07.2018;"Insurance";;-30,00
123456;01.07.2018;"Misc";;-94
123456;08.07.2018;"Rent";;-500,00
123456;18.07.2018;"Fuel";;-57,00
123456;23.07.2018;"Grocery";;-24,00
123456;24.07.2018;"Misc";;-82,00
123456;01.08.2018;"Salary";;2300,00
123456;01.08.2018;"Insurance";;-30,00
123456;01.08.2018;"Misc";;-29,00
123456;02.08.2018;"Misc";;-48,00
123456;04.08.2018;"Misc";;-70,00
123456;08.08.2018;"Rent";;-500,00
123456;10.08.2018;"Fuel";;-64,00
123456;10.08.2018;"Misc";;-16,00
123456;26.08.2018;"Garage";;-1000,00
123456;29.08.2018;"Fuel";;-41,00
123456;30.08.2018;"Misc";;-31,00
123456;01.09.2018;"Salary";;2300,00
123456;01.09.2018;"unicef";;-50,00
123456;01.09.2018;"Insurance";;-30,00
123456;07.09.2018;"Grocery";;-21,00
123456;08.09.2018;"Rent";;-500,00
123456;16.09.2018;"Grocery";;-21,00
123456;19.09.2018;"Fuel";;-61,00
123456;22.09.2018;"Misc";;-96,00
123456;24.09.2018;"Fuel";;-47,00
123456;01.10.2018;"Salary";;2300,00
123456;01.10.2018;"Insurance";;-30
123456;08.10.2018;"Rent";;-500
123456;12.10.2018;"Fuel";;-45
123456;15.10.2018;"Misc";;-100,00
123456;21.10.2018;"Grocery";;-34,00
123456;01.11.2018;"Salary";;3200,00
123456;01.11.2018;"unicef";;-150,00
123456;01.11.2018;"Insurance";;-30,00
123456;03.11.2018;"Fuel";;-45,00
123456;07.11.2018;"Fuel";;-48,00
123456;08.11.2018;"Rent";;-500,00
123456;12.11.2018;"Misc";;-78,00
123456;16.11.2018;"Grocery";;-42,00
123456;28.11.2018;"Fuel";;-50,00
123456;01.12.2018;"Salary";;2300,00
123456;01.12.2018;"Insurance";;-30,00
123456;03.12.2018;"Misc";;-61,00
123456;05.12.2018;"Fuel";;-52,00
123456;08.12.2018;"Rent";;-500,00
123456;10.12.2018;"Fuel";;-58,00
123456;15.12.2018;"Misc";;-66,00
123456;27.12.2018;"Fuel";;-60,00
123456;30.12.2018;"Grocery";;-49,00
